# Exact solution for the double rarefaction/vacuum test from Toro (test3; 
# section 6.4) after 0.15 s.  This was computed using Toro's exact Riemann 
# solver (Ch. 4).
#         x              rho              u               p               e
      0.511719        0.021852        0.000000        0.001894        0.216669
      0.519531        0.021852        0.000000        0.001894        0.216669
      0.527344        0.021852        0.000000        0.001894        0.216669
      0.535156        0.021852        0.000000        0.001894        0.216669
      0.542969        0.021852        0.000000        0.001894        0.216669
      0.550781        0.021852        0.000000        0.001894        0.216669
      0.558594        0.024154        0.035245        0.002179        0.225527
      0.566406        0.027252        0.078647        0.002580        0.236679
      0.574219        0.030660        0.122050        0.003043        0.248100
      0.582031        0.034400        0.165453        0.003575        0.259791
      0.589844        0.038497        0.208856        0.004185        0.271750
      0.597656        0.042975        0.252258        0.004882        0.283979
      0.605469        0.047860        0.295661        0.005676        0.296476
      0.613281        0.053180        0.339064        0.006578        0.309243
      0.621094        0.058963        0.382467        0.007601        0.322279
      0.628906        0.065238        0.425870        0.008757        0.335584
      0.636719        0.072037        0.469272        0.010061        0.349158
      0.644531        0.079391        0.512675        0.011528        0.363001
      0.652344        0.087333        0.556078        0.013174        0.377113
      0.660156        0.095899        0.599481        0.015018        0.391495
      0.667969        0.105124        0.642883        0.017078        0.406145
      0.675781        0.115046        0.686286        0.019377        0.421065
      0.683594        0.125704        0.729689        0.021935        0.436254
      0.691406        0.137137        0.773092        0.024778        0.451712
      0.699219        0.149387        0.816495        0.027932        0.467439
      0.707031        0.162497        0.859897        0.031423        0.483435
      0.714844        0.176512        0.903300        0.035281        0.499700
      0.722656        0.191477        0.946703        0.039539        0.516234
      0.730469        0.207441        0.990106        0.044230        0.533038
      0.738281        0.224453        1.033508        0.049389        0.550110
      0.746094        0.242562        1.076911        0.055057        0.567452
      0.753906        0.261822        1.120314        0.061273        0.585063
      0.761719        0.282287        1.163717        0.068081        0.602943
      0.769531        0.304011        1.207120        0.075528        0.621092
      0.777344        0.327053        1.250522        0.083661        0.639510
      0.785156        0.351472        1.293925        0.092535        0.658197
      0.792969        0.377327        1.337328        0.102203        0.677154
      0.800781        0.404682        1.380731        0.112725        0.696379
      0.808594        0.433602        1.424133        0.124162        0.715874
      0.816406        0.464151        1.467536        0.136579        0.735637
      0.824219        0.496399        1.510939        0.150046        0.755670
      0.832031        0.530415        1.554342        0.164635        0.775972
      0.839844        0.566270        1.597745        0.180423        0.796543
      0.847656        0.604038        1.641147        0.197492        0.817383
      0.855469        0.643796        1.684550        0.215927        0.838493
      0.863281        0.685620        1.727953        0.235818        0.859871
      0.871094        0.729590        1.771356        0.257259        0.881519
      0.878906        0.775787        1.814758        0.280349        0.903435
      0.886719        0.824296        1.858161        0.305194        0.925621
      0.894531        0.875201        1.901564        0.331903        0.948076
      0.902344        0.928591        1.944967        0.360590        0.970800
      0.910156        0.984555        1.988370        0.391377        0.993793
      0.917969        1.000000        2.000000        0.400000        1.000000
      0.925781        1.000000        2.000000        0.400000        1.000000
      0.933594        1.000000        2.000000        0.400000        1.000000
      0.941406        1.000000        2.000000        0.400000        1.000000
      0.949219        1.000000        2.000000        0.400000        1.000000
      0.957031        1.000000        2.000000        0.400000        1.000000
      0.964844        1.000000        2.000000        0.400000        1.000000
      0.972656        1.000000        2.000000        0.400000        1.000000
      0.980469        1.000000        2.000000        0.400000        1.000000
      0.988281        1.000000        2.000000        0.400000        1.000000
      0.996094        1.000000        2.000000        0.400000        1.000000
