# Exact solution for the Sod problem at t = 0.2 s, using Toro's exact Riemann
# solver (Ch. 4).  
#        x               rho             u               p                e
      0.832031        0.265574        0.927453        0.303130        2.853541
      0.839844        0.265574        0.927453        0.303130        2.853541
      0.847656        0.265574        0.927453        0.303130        2.853541
      0.855469        0.125000        0.000000        0.100000        2.000000
      0.863281        0.125000        0.000000        0.100000        2.000000
      0.871094        0.125000        0.000000        0.100000        2.000000
      0.878906        0.125000        0.000000        0.100000        2.000000
      0.886719        0.125000        0.000000        0.100000        2.000000
      0.894531        0.125000        0.000000        0.100000        2.000000
      0.902344        0.125000        0.000000        0.100000        2.000000
      0.910156        0.125000        0.000000        0.100000        2.000000
      0.917969        0.125000        0.000000        0.100000        2.000000
      0.925781        0.125000        0.000000        0.100000        2.000000
      0.933594        0.125000        0.000000        0.100000        2.000000
      0.941406        0.125000        0.000000        0.100000        2.000000
      0.949219        0.125000        0.000000        0.100000        2.000000
      0.957031        0.125000        0.000000        0.100000        2.000000
      0.964844        0.125000        0.000000        0.100000        2.000000
      0.972656        0.125000        0.000000        0.100000        2.000000
      0.980469        0.125000        0.000000        0.100000        2.000000
      0.988281        0.125000        0.000000        0.100000        2.000000
      0.996094        0.125000        0.000000        0.100000        2.000000
